MSSV,Malop,Diem
S83,L2,1
S12,L4,9
S45,L9,2
S26,L1,5
S16,L4,3
S85,L15,2
S32,L10,10
S20,L8,10
S62,L15,7
S80,L11,5
S56,L14,2
S59,L6,2
S71,L10,1
S54,L13,3
S87,L8,8
S86,L8,6
S71,L4,7
S80,L13,7
S1,L7,5
S73,L6,3
S24,L6,5
S46,L11,8
S26,L15,3
S52,L9,2
S44,L15,7
S91,L9,6
S39,L8,4
S34,L11,0
S57,L5,8
S40,L8,10
S69,L10,5
S57,L1,2
S12,L14,6
S19,L14,7
S76,L10,4
S88,L5,2
S86,L7,3
S28,L11,8
S8,L14,2
S21,L9,8
S49,L8,3
S30,L2,8
S20,L14,1
S26,L14,10
S77,L10,6
S54,L14,4
S8,L9,10
S11,L10,1
S8,L1,4
S38,L13,2
S18,L6,6
S89,L9,6
S35,L9,7
S57,L12,3
S21,L15,8
S32,L3,1
S5,L11,1
S57,L9,3
S14,L12,8
S9,L3,10
S43,L10,1
S36,L11,10
S80,L6,5
S82,L12,0
S77,L5,5
S21,L6,3
S58,L3,1
S81,L15,1
S83,L5,3
S86,L1,4
S84,L13,7
S45,L12,8
S6,L6,4
S48,L14,1
S61,L13,2
S1,L9,5
S46,L10,2
S18,L1,1
S2,L6,10
S57,L14,7
S36,L13,6
S31,L9,10
S21,L12,10
S25,L2,2
S92,L10,0
S47,L10,10
S39,L1,7
S86,L10,2
S50,L6,6
S46,L3,6
S68,L2,5
S76,L13,7
S92,L1,2
S54,L1,10
S62,L8,3
S68,L6,9
S37,L14,1
S62,L12,8
S88,L4,2
S69,L14,1
S65,L9,10
S8,L4,2
S49,L15,9
S82,L10,8
S10,L1,5
S64,L14,6
S46,L6,7
S21,L10,2
S81,L8,0
S11,L8,8
S54,L15,9
S5,L1,3
S64,L11,10
S69,L7,7
S72,L9,6
S33,L14,10
S8,L13,3
S34,L9,10
S1,L3,10
S84,L12,2
S39,L9,1
S89,L10,6
S43,L11,0
S69,L15,6
S48,L4,7
S59,L15,8
S22,L4,1
S3,L5,7
S35,L12,0
S65,L15,7
S59,L13,7
S28,L1,5
S10,L13,10
S92,L3,5
S49,L10,4
S73,L4,6
S14,L3,1
S79,L5,6
S19,L4,8
S12,L1,6
S52,L15,3
S78,L11,3
S77,L4,1
S50,L10,8
S41,L2,3
S14,L6,10
S51,L11,3
S18,L4,6
S25,L9,6
S39,L11,6
S16,L11,7
S2,L10,10
S91,L1,8
S72,L3,8
S38,L15,5
S44,L14,4
S43,L7,9
S27,L8,0
S92,L9,4
S40,L1,0
S81,L5,6
S54,L6,4
S37,L15,10
S20,L3,2
S63,L11,3
S89,L8,10
S22,L3,6
S44,L13,5
S6,L1,7
S12,L8,9
S84,L3,3
S40,L7,9
S14,L14,3
S25,L1,0
S53,L13,9
S39,L5,9
S13,L2,6
S86,L15,9
S28,L8,9
S79,L10,1
S93,L7,5
S60,L15,10
S29,L13,6
S42,L5,5
S80,L14,1
S51,L5,8
S44,L6,4
S30,L10,6
S61,L9,1
S67,L5,0
S88,L14,3
S69,L1,3
S10,L14,5
S15,L8,1
S68,L1,0
S34,L5,10
S35,L15,8
S71,L8,8
S72,L10,5
S48,L12,5
S28,L6,2
S69,L12,8
S64,L10,4
S68,L7,9
S9,L2,4
S42,L7,0
S14,L1,7
S53,L1,6
S84,L11,10
S92,L11,9
S20,L12,9
S91,L12,8
S29,L15,10
S14,L2,5
S17,L4,3
S10,L6,8
S40,L6,0
S71,L6,4
S29,L9,7
S4,L9,8
